"","share","group","subject","period","quantity"
"1",0.1,1,1,1,6
"2",0.1,1,1,2,9.6
"3",0.1,1,1,3,7.8
"4",0.1,1,1,4,10
"5",0.1,1,1,5,7.6
"6",0.1,1,1,6,2.3
"7",0.1,1,1,7,7
"8",0.1,1,1,8,4
"9",0.1,1,1,9,10.6
"10",0.1,1,1,10,9.2
"11",0.1,1,1,11,8.5
"12",0.1,1,1,12,7.9
"13",0.1,1,1,13,7.7
"14",0.1,1,1,14,8.2
"15",0.1,1,1,15,8.1
"16",0.1,1,1,16,7.8
"17",0.1,1,1,17,8.2
"18",0.1,1,1,18,7.6
"19",0.1,1,1,19,9
"20",0.1,1,1,20,9.2
"21",0.1,1,1,21,9.7
"22",0.1,1,1,22,10.4
"23",0.1,1,1,23,11.2
"24",0.1,1,1,24,7
"25",0.1,1,1,25,8
"26",0.1,1,1,26,12.4
"27",0.1,1,1,27,8.9
"28",0.1,1,1,28,11.3
"29",0.1,1,1,29,9.6
"30",0.1,1,1,30,9.4
"31",0.1,1,2,1,10
"32",0.1,1,2,2,9
"33",0.1,1,2,3,10.5
"34",0.1,1,2,4,8.5
"35",0.1,1,2,5,9.5
"36",0.1,1,2,6,10.2
"37",0.1,1,2,7,8.8
"38",0.1,1,2,8,9.2
"39",0.1,1,2,9,11.5
"40",0.1,1,2,10,8.9
"41",0.1,1,2,11,9.8
"42",0.1,1,2,12,10.7
"43",0.1,1,2,13,10
"44",0.1,1,2,14,10.5
"45",0.1,1,2,15,9.6
"46",0.1,1,2,16,12.7
"47",0.1,1,2,17,10.3
"48",0.1,1,2,18,12.4
"49",0.1,1,2,19,11.8
"50",0.1,1,2,20,11
"51",0.1,1,2,21,10.8
"52",0.1,1,2,22,10.6
"53",0.1,1,2,23,10.7
"54",0.1,1,2,24,10.5
"55",0.1,1,2,25,11
"56",0.1,1,2,26,10.5
"57",0.1,1,2,27,10.9
"58",0.1,1,2,28,10.7
"59",0.1,1,2,29,10.3
"60",0.1,1,2,30,10.7
"61",0.1,1,3,1,9.5
"62",0.1,1,3,2,9.7
"63",0.1,1,3,3,8.7
"64",0.1,1,3,4,9.9
"65",0.1,1,3,5,6.6
"66",0.1,1,3,6,6.4
"67",0.1,1,3,7,7.3
"68",0.1,1,3,8,8.1
"69",0.1,1,3,9,7.7
"70",0.1,1,3,10,8.9
"71",0.1,1,3,11,9.1
"72",0.1,1,3,12,8.6
"73",0.1,1,3,13,9.1
"74",0.1,1,3,14,8.7
"75",0.1,1,3,15,8.4
"76",0.1,1,3,16,9
"77",0.1,1,3,17,9.3
"78",0.1,1,3,18,8.5
"79",0.1,1,3,19,8.8
"80",0.1,1,3,20,8.5
"81",0.1,1,3,21,9.1
"82",0.1,1,3,22,8.7
"83",0.1,1,3,23,5
"84",0.1,1,3,24,4.5
"85",0.1,1,3,25,8.6
"86",0.1,1,3,26,9.2
"87",0.1,1,3,27,9
"88",0.1,1,3,28,10.5
"89",0.1,1,3,29,8.5
"90",0.1,1,3,30,9.9
"91",0.1,1,4,1,10
"92",0.1,1,4,2,13
"93",0.1,1,4,3,8.5
"94",0.1,1,4,4,7
"95",0.1,1,4,5,3
"96",0.1,1,4,6,7
"97",0.1,1,4,7,7
"98",0.1,1,4,8,7
"99",0.1,1,4,9,7
"100",0.1,1,4,10,7
"101",0.1,1,4,11,7
"102",0.1,1,4,12,7
"103",0.1,1,4,13,7
"104",0.1,1,4,14,7
"105",0.1,1,4,15,7
"106",0.1,1,4,16,7
"107",0.1,1,4,17,7
"108",0.1,1,4,18,7
"109",0.1,1,4,19,7
"110",0.1,1,4,20,7
"111",0.1,1,4,21,6
"112",0.1,1,4,22,6
"113",0.1,1,4,23,6
"114",0.1,1,4,24,7
"115",0.1,1,4,25,7
"116",0.1,1,4,26,7
"117",0.1,1,4,27,7
"118",0.1,1,4,28,7
"119",0.1,1,4,29,7
"120",0.1,1,4,30,7
"121",0.1,1,5,1,8
"122",0.1,1,5,2,6
"123",0.1,1,5,3,8
"124",0.1,1,5,4,6
"125",0.1,1,5,5,6
"126",0.1,1,5,6,7
"127",0.1,1,5,7,7
"128",0.1,1,5,8,8
"129",0.1,1,5,9,7
"130",0.1,1,5,10,7
"131",0.1,1,5,11,7
"132",0.1,1,5,12,7
"133",0.1,1,5,13,7
"134",0.1,1,5,14,7
"135",0.1,1,5,15,7
"136",0.1,1,5,16,9
"137",0.1,1,5,17,7
"138",0.1,1,5,18,7
"139",0.1,1,5,19,7
"140",0.1,1,5,20,9.7
"141",0.1,1,5,21,9.5
"142",0.1,1,5,22,7
"143",0.1,1,5,23,7
"144",0.1,1,5,24,7
"145",0.1,1,5,25,7
"146",0.1,1,5,26,7
"147",0.1,1,5,27,7
"148",0.1,1,5,28,7
"149",0.1,1,5,29,7
"150",0.1,1,5,30,7
"151",0.1,1,6,1,10
"152",0.1,1,6,2,12
"153",0.1,1,6,3,11
"154",0.1,1,6,4,5
"155",0.1,1,6,5,5.4
"156",0.1,1,6,6,4
