       cond pre post gain train
1       t08   8    9    1     1
2       t08   8   10    2     1
3       t08   8    8    0     1
4       t08   8    7   -1     1
5       t08   9   11    2     1
6       t08   9   10    1     1
7       t08   9   12    3     1
8       t08   9   11    2     1
9       t08  10   11    1     1
10      t08  10   11    1     1
11      t08  10    9   -1     1
12      t08  10   12    2     1
13      t08  11   12    1     1
14      t08  11   14    3     1
15      t08  11   14    3     1
16      t08  12   12    0     1
17      t08  12   13    1     1
18      t08  12   13    1     1
19      t08  12   14    2     1
20      t08  12   15    3     1
21      t12   8   10    2     1
22      t12   8   10    2     1
23      t12   9   13    4     1
24      t12   9   11    2     1
25      t12   9   11    2     1
26      t12   9   14    5     1
27      t12  10   12    2     1
28      t12  10   14    4     1
29      t12  10   12    2     1
30      t12  10   12    2     1
31      t12  11   11    0     1
32      t12  11   13    2     1
33      t12  11   15    4     1
34      t12  12   14    2     1
35      t12  12   14    2     1
36      t12  12   17    5     1
37      t12  12   14    2     1
38      t12   8   12    4     1
39      t12   8   10    2     1
40      t12   9   11    2     1
41      t17   9   13    4     1
42      t17   9   13    4     1
43      t17   9   16    7     1
44      t17  10   13    3     1
45      t17  10   16    6     1
46      t17  10   14    4     1
47      t17  10   14    4     1
48      t17  11   14    3     1
49      t17  11   14    3     1
50      t17  11   17    6     1
51      t17  12   16    4     1
52      t17  12   16    4     1
53      t17  12   19    7     1
54      t17  12   15    3     1
55      t17   8   14    6     1
56      t17   8   12    4     1
57      t17   9   13    4     1
58      t17   9   12    3     1
59      t17   9   12    3     1
60      t17   9   15    6     1
61      t19  10   17    7     1
62      t19  10   15    5     1
63      t19  10   19    9     1
64      t19  10   16    6     1
65      t19  11   15    4     1
66      t19  11   18    7     1
67      t19  11   16    5     1
68      t19  12   15    3     1
69      t19  12   18    6     1
70      t19  12   16    4     1
71      t19  12   19    7     1
72      t19   8   13    5     1
73      t19   8   17    9     1
74      t19   9   15    6     1
75      t19   9   13    4     1
76      t19   9   16    7     1
77      t19   9   14    5     1
78      t19  10   13    3     1
79      t19  10   16    6     1
80      t19  10   14    4     1
81  control   8    9    1     0
82  control   8   10    2     0
83  control   8    8    0     0
84  control   8    7   -1     0
85  control   9   11    2     0
86  control   9   10    1     0
87  control   9   12    3     0
88  control   9   11    2     0
89  control  10   11    1     0
90  control  10   11    1     0
91  control  10    9   -1     0
92  control  10   12    2     0
93  control  11   12    1     0
94  control  11   14    3     0
95  control  11   14    3     0
96  control  12   12    0     0
97  control  12   13    1     0
98  control  12   13    1     0
99  control  12   14    2     0
100 control  12   15    3     0
101 control   8   10    2     0
102 control   8   10    2     0
103 control   9   13    4     0
104 control   9   11    2     0
105 control   9   11    2     0
106 control   9   14    5     0
107 control  10   12    2     0
108 control  10   14    4     0
109 control  10   12    2     0
110 control  10   12    2     0
111 control  11   11    0     0
112 control  11   13    2     0
113 control  11   15    4     0
114 control  12   14    2     0
115 control  12   14    2     0
116 control  12   17    5     0
117 control  12   14    2     0
118 control   8   12    4     0
119 control   8   10    2     0
120 control   9   11    2     0
